Full Name,Best Position,Weak Foot Rating,Skill Moves,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes
Emil CeÃ¯de,RM,2,4,81,56,57,73,33,49,61,59,37,59,51,74,58,40,46,73,85,78,82,56,77,56,45,61,49,55,34,27,62,64,38,60,32,35,33,6,7,10,9,13
Rico Benatelli,CDM,4,3,46,62,66,68,60,71,64,57,45,71,48,65,64,56,67,71,58,37,71,66,76,71,32,79,74,67,61,63,60,63,63,73,62,60,62,7,12,14,8,7
Dominic Iorfa,CB,3,2,80,40,55,57,67,70,53,45,66,61,24,61,37,24,57,58,79,81,44,62,44,47,34,49,84,26,70,68,54,56,31,58,67,68,67,13,13,8,10,8
Jan Kliment,ST,3,3,73,64,55,66,31,62,56,66,64,58,58,65,56,49,48,68,70,76,67,66,67,67,77,58,72,57,39,32,72,56,61,61,25,28,21,14,10,12,10,10
Maxime Dominguez,CAM,4,4,75,59,64,70,45,47,59,58,49,67,54,66,60,52,65,71,77,73,82,55,91,58,75,38,50,62,42,40,65,69,62,67,45,47,46,6,9,12,11,7
Florian Flecker,RM,3,3,84,61,57,69,57,66,62,65,43,57,55,68,45,58,51,66,89,80,91,62,80,62,65,82,57,56,67,60,56,58,47,52,59,59,57,12,7,15,9,8
Ben Lederman,CAM,3,3,76,59,67,70,55,66,61,58,46,71,52,68,57,58,67,69,79,73,82,67,70,62,71,74,63,62,63,65,59,70,44,68,54,57,45,10,9,10,7,9
Naci ÃœnÃ¼var,CAM,3,4,69,58,67,72,37,44,63,61,46,68,47,71,71,58,64,74,71,68,72,62,86,62,53,55,38,49,43,25,56,74,62,67,40,38,42,14,14,11,11,10
Mike van Duinen,LM,4,3,70,65,60,65,48,74,63,65,64,64,63,64,49,40,60,67,71,70,66,66,62,67,82,81,72,63,67,40,72,58,68,68,49,43,55,8,10,7,11,12
Francois-Joseph Sollacaro,GK,2,1,67,66,65,69,44,68,13,6,19,21,15,7,19,16,25,19,42,46,37,55,59,49,64,28,47,15,11,13,5,22,14,51,8,8,9,67,66,65,68,69
Jonny Hayes,LB,4,3,79,59,63,69,62,68,67,56,57,65,50,67,67,67,56,66,78,80,82,55,83,73,84,69,61,59,80,60,56,58,48,70,63,63,61,11,6,11,11,14
Olivier Mbaizo,RWB,2,2,80,36,57,68,60,65,66,31,58,65,41,70,51,38,57,66,82,79,77,59,70,39,70,73,61,37,65,59,49,39,44,50,58,64,62,11,13,9,9,11
Farid El Melali,CAM,3,3,69,61,62,75,30,34,63,70,41,65,53,82,49,43,57,70,70,69,71,53,91,54,32,33,34,45,35,19,66,65,65,61,26,36,38,5,8,8,13,10
Robert Ergas,LB,2,2,77,51,47,61,62,64,71,55,50,43,36,63,46,65,30,59,72,81,58,62,66,30,55,82,59,65,58,60,58,36,60,53,61,66,67,6,12,13,10,11
Elliot Anderson,CAM,4,3,74,64,65,73,58,68,58,65,61,70,57,73,65,49,65,72,79,70,78,63,85,68,73,68,66,59,70,56,66,67,60,73,54,63,53,6,12,5,10,7
Bruno Veglio,CM,3,3,65,62,65,62,64,54,58,63,47,69,56,60,58,55,65,65,68,62,63,63,67,58,50,77,42,68,54,74,58,67,51,52,58,72,58,7,8,8,7,11
Eduart Rroca,CAM,3,2,64,67,66,68,50,57,63,69,58,69,49,70,63,59,68,73,59,68,55,57,62,68,61,58,59,67,48,44,68,65,66,66,54,49,44,6,8,14,5,8
Brandon Borrello,RM,4,3,70,64,61,69,26,68,65,62,39,62,59,71,65,40,53,66,75,66,75,65,78,71,53,75,69,64,61,23,63,63,57,60,22,30,21,13,16,11,6,10
Ryan Hardie,ST,3,3,86,64,48,64,24,64,39,67,61,57,60,63,48,55,42,64,84,88,71,64,69,66,72,73,73,59,27,18,67,45,59,61,22,21,18,12,9,10,7,15
Roberto Emanuel Oliveira Alves,LM,3,2,75,66,67,68,28,64,65,65,34,68,60,68,72,73,63,69,76,74,70,52,70,70,59,87,58,68,52,20,64,68,67,65,34,28,24,6,14,9,5,6
Virgil GhiÈ›Äƒ,CB,2,2,54,44,48,50,67,74,41,43,68,53,36,42,40,46,45,49,53,54,66,65,73,47,82,70,76,47,73,65,43,51,41,50,66,69,65,7,8,15,15,7
Abdoul Fessal Tapsoba,ST,3,3,83,67,54,70,22,55,55,68,57,63,68,70,38,42,40,72,84,83,81,52,73,69,83,59,56,66,38,23,67,54,61,57,15,18,19,8,6,7,12,7
Radu Negru,RB,3,2,80,39,57,60,59,68,65,32,40,62,29,55,57,33,56,56,80,80,85,60,84,56,60,81,63,40,68,63,45,45,31,60,58,64,62,14,8,9,8,6
Joyskim Dawa,CB,2,2,66,34,40,44,65,80,41,27,72,47,21,41,24,23,45,44,65,67,51,58,35,65,75,69,87,25,76,63,22,32,28,49,61,68,64,13,12,13,15,6
Henri Lansbury,CM,3,3,52,66,69,67,60,70,66,65,52,70,57,65,69,67,70,70,53,52,69,65,64,70,61,52,75,67,81,66,65,70,70,71,55,63,62,11,16,15,14,13
Enrique Camargo,CM,3,3,65,63,66,66,61,59,55,66,55,72,58,67,60,55,71,66,68,63,62,64,67,55,55,66,58,65,56,62,61,65,61,58,55,68,60,10,13,12,11,13
Joe Morrell,CM,4,3,71,47,66,72,55,52,62,40,36,70,45,68,55,58,69,70,72,70,89,68,92,55,67,81,38,52,45,67,55,67,58,72,55,56,47,7,8,14,7,11
ThÃ©o Sainte-Luce,LWB,2,3,75,47,58,68,62,61,61,46,47,64,36,68,59,45,54,69,74,76,72,63,69,56,66,70,60,41,53,68,57,48,46,62,65,61,63,5,12,9,12,12
Lucas Ahijado Quintana,RB,3,3,80,58,62,65,62,63,65,53,51,63,53,63,55,54,61,64,77,83,76,58,75,67,53,76,61,65,53,64,61,63,46,56,61,64,62,14,7,12,10,14
Ismael Saibari,CAM,4,4,76,62,63,70,41,68,60,63,39,64,55,70,64,58,59,70,74,77,73,63,72,64,64,62,74,61,61,40,64,67,57,61,41,41,40,8,12,11,10,15
Brad Guzan,GK,2,1,65,68,64,65,38,68,16,14,12,26,15,14,15,11,34,28,38,37,37,63,47,48,67,30,63,15,35,19,12,51,35,53,12,15,14,65,68,64,68,65
Adriano Davi Junqueiras Duarte,CB,3,2,52,29,34,45,67,74,27,27,67,40,29,29,25,27,33,60,51,52,43,70,55,37,78,67,78,23,71,67,23,33,38,58,60,75,68,16,9,8,12,10
Abdullah Al Khaibari,CDM,3,2,63,43,59,63,65,69,54,35,53,67,38,61,37,39,62,67,72,55,63,65,72,57,70,74,67,47,69,64,53,59,40,52,67,67,64,6,13,15,9,12
Thomas Keller,CB,3,2,63,42,56,53,65,74,42,37,67,65,29,47,46,65,59,60,65,61,59,64,53,61,72,69,77,40,71,62,28,52,39,47,65,68,64,11,7,11,8,12
Marius Marin,CDM,3,2,73,57,67,66,64,70,61,53,57,73,48,64,60,60,66,67,74,73,70,66,70,64,71,84,63,61,72,64,58,68,57,60,64,66,64,13,5,11,13,15
Giorgi Aburjania,CM,5,2,52,62,66,68,63,72,64,64,56,67,47,69,67,66,65,68,50,53,61,65,64,65,80,68,71,63,75,69,64,68,49,71,64,63,57,8,7,7,6,11
Adonnis PabÃ³n,GK,2,1,65,68,65,67,52,65,11,17,14,49,18,15,14,19,65,15,52,51,44,65,44,49,57,45,61,13,16,25,16,26,22,45,29,18,18,65,68,65,65,67
Joevin Jones,LB,2,3,77,57,64,68,61,68,62,56,46,67,38,68,68,52,63,67,77,77,74,62,74,63,73,64,70,59,68,63,63,63,48,64,62,64,63,9,9,15,9,7
Muhammed Åžengezer,GK,2,1,67,64,61,70,35,66,11,9,13,35,8,10,12,12,30,21,34,36,42,60,32,46,58,22,58,6,19,12,9,32,19,39,10,13,10,67,64,61,66,70
Albion Vrenezi,RW,4,3,79,66,60,71,20,58,64,66,36,65,59,72,60,44,50,69,82,77,83,63,80,67,67,81,55,67,36,18,66,58,61,55,21,17,18,8,15,7,8,11
David Schnegg,LWB,3,2,73,53,60,65,63,74,63,51,53,62,48,66,57,50,57,67,70,75,65,56,61,55,37,79,79,56,65,62,56,58,45,57,64,64,68,6,5,15,12,10
Koichi Aparicio,CDM,2,2,45,46,61,57,69,68,50,36,60,68,49,55,63,42,65,58,32,55,55,70,33,57,72,64,72,51,62,72,60,60,45,79,73,68,63,15,13,15,8,11
Jordan Smith,GK,4,1,65,63,55,73,35,64,14,15,14,28,12,16,16,13,22,24,36,33,48,69,44,41,60,29,55,20,27,14,12,40,23,51,21,16,15,65,63,55,64,73
RÃ´mulo Roberto Selva Esser,ST,5,4,79,61,60,74,23,60,60,50,51,68,71,75,54,56,51,76,81,77,69,76,70,72,63,59,63,67,51,24,77,55,67,72,26,14,13,12,8,11,7,12
Shuai Li,LB,4,3,79,41,58,65,61,72,57,37,49,63,36,63,49,48,53,63,77,80,82,60,70,45,72,80,71,39,66,61,67,60,39,62,59,66,65,6,7,10,13,14
Dion Sanderson,CB,3,2,75,40,51,58,67,73,56,39,60,55,35,56,38,32,49,58,71,78,66,64,53,45,69,65,78,38,70,67,51,48,32,53,68,69,67,7,9,6,10,7
Isaak TourÃ©,CB,3,2,67,30,48,54,63,80,42,29,64,55,27,47,38,24,47,62,63,70,53,60,47,39,74,65,91,19,74,64,38,50,41,64,62,65,60,14,7,7,5,12
NicolÃ¡s Garayalde,CAM,4,3,66,55,68,69,55,54,58,52,39,74,49,70,58,48,68,68,67,65,69,64,66,57,49,54,57,60,48,60,66,75,44,65,58,55,50,7,12,8,8,5
Hugo Vallejo AvilÃ©s,CAM,4,3,63,65,64,71,36,55,66,70,41,65,61,74,63,70,64,73,64,62,63,60,59,62,47,57,63,59,32,29,64,58,59,61,39,36,35,13,6,10,13,13
Davino Verhulst,GK,3,1,67,66,64,66,24,70,12,12,13,27,14,14,9,14,26,30,23,26,28,60,53,48,56,18,72,13,38,16,14,42,29,46,20,12,15,67,66,64,70,66
Tom Holmes,CB,2,2,51,25,55,55,66,72,53,20,66,62,32,53,46,25,61,57,48,54,48,59,55,35,74,63,78,20,70,65,39,49,37,62,63,68,69,12,9,8,14,12
Valentin Cojocaru,GK,2,1,70,65,67,68,34,65,12,17,13,25,18,15,12,14,28,16,35,32,43,62,25,50,40,28,63,16,23,12,14,53,13,37,25,12,11,70,65,67,65,68
Yannick Thoelen,GK,2,1,65,68,64,65,38,68,14,11,13,26,13,12,16,17,33,19,36,42,43,61,33,48,68,27,61,12,27,13,5,40,20,36,10,20,19,65,68,64,68,65
Nicolas Wimmer,CB,3,2,48,33,45,44,67,75,37,31,69,53,25,39,33,31,54,47,51,46,42,67,41,44,72,66,84,27,63,66,37,38,41,58,67,67,65,6,9,11,15,15
Lautaro DÃ­az,RM,3,2,72,69,68,65,26,60,71,70,59,71,64,67,69,57,69,64,73,72,68,60,67,70,59,71,62,67,42,18,66,62,65,58,21,25,31,7,13,5,10,9
Maximiliano Urruti,CAM,2,3,72,66,62,71,54,69,54,67,58,67,65,71,67,52,61,68,77,68,81,69,65,70,58,88,59,62,74,53,67,63,66,67,48,60,50,12,10,16,8,7
Miguel Loureiro Ameijenda,RB,3,3,69,33,51,63,64,65,60,33,62,59,36,63,38,37,49,64,68,69,56,65,77,32,58,68,69,28,54,63,51,37,44,50,58,71,69,9,7,13,11,13
Scott Wootton,CB,3,2,53,29,50,57,66,76,45,22,65,60,32,55,23,18,55,62,48,57,53,55,55,48,78,69,84,20,63,63,43,50,37,50,66,69,64,15,8,12,15,12
JÃ³n DaÃ°i BÃ¶Ã°varsson,ST,4,3,69,64,60,65,37,70,58,66,66,61,62,65,63,56,59,68,66,72,61,65,56,65,66,71,78,61,52,22,67,62,62,62,37,38,36,13,12,7,6,14
Sulayman Marreh,CDM,3,2,44,32,55,60,66,71,34,22,58,65,24,58,27,40,63,62,60,31,56,64,62,50,60,64,72,29,80,67,48,63,47,64,68,66,64,14,9,12,12,9
Ahmet Arslan,CAM,4,3,67,63,66,70,59,60,57,62,45,72,52,69,66,52,66,70,72,63,76,69,74,64,54,55,59,65,70,56,58,69,67,65,62,64,56,7,10,13,5,14
Jeroen Houwen,GK,3,1,67,67,67,69,42,64,12,19,16,25,14,11,14,12,24,20,44,40,35,58,34,50,50,25,63,12,24,16,8,40,22,47,9,12,12,67,67,67,64,69
Esneyder Mena,RM,3,3,76,53,61,66,36,54,66,60,42,64,37,67,41,30,60,61,75,76,70,65,75,56,37,78,55,37,28,21,63,62,55,62,45,36,35,14,12,9,12,8
Manuel Insaurralde,CAM,2,2,73,53,65,68,56,66,51,52,47,73,55,66,52,51,69,71,78,68,73,66,65,56,71,74,63,46,64,57,64,68,59,67,60,54,58,8,14,6,9,12
Nixon Molina,CDM,3,2,66,51,56,62,66,68,42,50,51,66,31,61,36,32,61,66,64,68,62,67,61,55,60,71,71,50,58,68,65,62,48,50,68,68,65,7,10,7,7,14
Daniel Åukasik,CDM,2,2,51,51,66,64,64,69,65,47,52,67,40,62,63,58,67,65,51,51,66,57,71,59,57,67,70,55,71,65,61,65,45,64,65,65,65,15,7,9,10,16
Iebe Swers,RM,3,3,88,52,62,68,58,65,66,48,46,65,56,68,63,51,58,66,86,89,75,66,75,53,73,71,64,58,58,59,58,59,54,66,57,62,59,15,12,14,10,11
Tayo Edun,LWB,3,2,75,45,59,66,62,69,56,39,56,64,36,62,35,55,62,63,77,73,84,64,83,54,82,82,59,46,74,63,54,58,55,61,62,63,62,12,11,12,12,9
Emmanuel Hackman,RB,4,3,74,46,51,65,65,72,58,45,63,58,31,65,72,30,44,66,72,75,66,63,60,68,81,68,73,33,71,69,40,38,46,66,61,67,63,6,8,11,10,9
Tin Plavotic,CB,3,2,40,29,45,42,66,81,25,24,73,64,22,35,24,24,65,55,41,39,34,52,33,42,55,70,92,28,72,64,27,26,31,50,67,65,60,12,12,13,8,15
Florin Iacob,GK,2,1,65,63,67,71,49,62,15,11,12,31,11,13,12,14,21,15,50,47,48,68,46,50,66,32,52,9,31,16,8,38,12,27,8,11,13,65,63,67,62,71
Diego Gabriel Silva Rosa,CM,3,3,69,49,67,66,59,66,60,40,55,74,45,67,56,53,68,68,68,69,58,68,70,66,61,70,65,48,65,56,63,68,50,62,56,64,60,12,13,6,7,11
Josh Murphy,LW,4,4,84,65,60,69,28,50,63,63,38,61,58,69,64,48,54,67,82,85,78,62,78,72,48,58,50,64,41,27,64,61,58,62,25,30,27,10,12,10,15,15
Andrew Considine,CB,3,2,35,31,55,61,67,75,62,25,67,62,30,61,37,52,57,63,34,35,51,56,66,42,85,68,81,33,67,64,25,39,38,60,67,68,66,8,15,12,11,10
Connor Metcalfe,CM,4,2,64,59,65,67,59,79,57,60,53,70,49,67,54,50,67,64,62,65,68,71,76,63,82,83,80,56,72,66,64,67,50,66,59,58,55,6,14,12,12,11
BlÃ¡s Riveros,LWB,3,3,77,36,56,71,59,67,65,25,41,65,25,70,54,32,59,71,76,77,83,62,77,44,75,72,67,48,60,57,64,34,40,65,57,65,65,12,7,8,15,9
Dino IslamoviÄ‡,ST,2,2,54,70,57,62,30,75,41,68,65,63,68,61,64,58,54,66,53,54,54,66,59,78,69,69,89,68,48,42,68,63,62,70,28,16,19,10,11,16,10,10
Enrico Brignola,CAM,4,3,72,63,63,71,21,54,65,65,53,65,45,71,48,45,62,69,72,72,85,62,86,64,64,65,53,63,40,20,70,65,60,50,23,12,13,14,6,10,8,5
Kendrys Silva,RB,3,2,63,49,58,49,66,69,61,42,64,63,40,40,41,49,55,54,64,63,59,65,61,60,80,73,70,55,57,70,41,55,55,57,65,65,67,15,13,14,14,9
Thibaut Vargas,RWB,4,2,72,35,56,63,63,62,60,28,57,65,26,61,52,32,52,66,72,72,67,65,71,59,76,69,56,26,64,64,51,46,40,54,59,68,66,5,8,7,11,8
Yong Jae Lee,RW,3,3,83,65,60,67,30,69,61,69,58,62,61,65,65,43,54,66,83,83,80,68,64,64,58,71,69,57,69,39,69,64,58,58,34,15,12,13,12,10,12,15
Miguel Vargas,GK,2,1,63,70,65,65,49,67,18,19,18,38,15,22,19,20,31,21,48,51,38,65,28,49,62,42,71,20,37,26,19,29,25,46,16,22,18,63,70,65,67,65
Frank Fielding,GK,3,1,65,66,60,70,41,65,18,11,22,33,13,12,12,15,29,23,42,39,44,68,45,45,63,31,64,13,38,21,11,37,22,41,12,12,14,65,66,60,65,70
GermÃ¡n ParreÃ±o Boix,GK,3,1,64,67,63,68,36,65,30,11,19,41,15,13,28,14,40,20,37,35,41,64,40,47,70,33,65,12,38,21,13,46,24,49,17,13,15,64,67,63,65,68
Hendrik Weydandt,ST,3,2,77,63,45,57,33,80,30,66,74,54,64,58,36,33,34,62,68,84,47,64,35,71,70,70,92,50,65,24,65,56,50,55,23,36,28,12,5,15,13,9
Ismael Mohammad,RWB,3,3,83,61,62,67,58,61,67,64,52,64,53,66,64,38,57,64,82,84,77,63,80,62,58,73,50,58,75,57,65,65,48,62,55,62,63,9,13,10,6,5
Cleiton Augusto Oliveira Silva,ST,4,3,76,68,62,67,22,65,58,69,63,64,60,67,64,62,61,65,77,76,70,63,82,72,69,78,66,63,45,15,65,63,67,66,19,18,16,12,13,6,10,8
Joe Edwards,RWB,4,2,68,58,62,65,62,75,61,60,58,63,45,62,62,53,62,63,69,67,80,60,81,59,89,91,70,55,66,61,57,63,56,70,64,62,61,11,6,8,12,7
Andrea D'Errico,CM,3,3,63,43,67,69,59,54,62,42,39,73,36,69,59,44,69,73,63,63,61,60,82,50,49,68,45,32,61,60,64,70,45,62,60,66,54,15,15,7,11,6
Furkan Soyalp,CAM,4,3,70,61,69,70,52,64,63,56,50,74,60,72,66,50,70,70,71,70,72,59,68,68,62,68,65,64,55,55,68,69,51,62,51,53,46,8,7,13,7,16
Aiden O'Neill,CDM,3,3,76,58,62,66,62,70,53,57,54,68,52,63,58,45,66,66,74,77,80,61,75,61,81,83,64,62,66,62,56,65,49,68,63,65,61,10,15,7,12,9
Julien Masson,CDM,2,2,61,43,58,60,63,80,46,32,61,67,36,57,41,37,64,63,57,64,64,62,59,58,74,87,79,52,75,65,39,59,49,57,63,64,60,9,10,6,8,11
Adrian Rus,CB,3,2,72,47,54,59,65,73,42,42,64,64,38,54,47,36,59,60,73,71,66,63,65,56,71,68,76,52,72,65,46,52,44,66,65,66,66,12,13,15,13,10
Martin Hansen,GK,3,1,65,64,64,67,50,66,8,20,12,12,13,13,14,13,11,23,51,48,48,69,51,48,67,33,67,16,24,24,15,42,14,56,23,14,14,65,64,64,66,67
È˜tefan Baiaram,RM,3,3,84,57,61,66,29,58,62,60,39,65,49,65,61,38,57,65,82,85,80,61,70,58,59,75,50,53,56,23,64,64,45,63,30,29,30,9,9,6,8,6
Simen Bolkan Nordli,CAM,3,3,69,62,66,67,49,64,66,60,43,67,58,66,68,67,62,67,71,67,71,62,70,65,54,76,65,66,48,52,64,67,62,65,45,52,47,11,9,13,5,5
ErtuÄŸrul Ersoy,CB,3,2,51,29,45,50,66,77,23,22,71,62,31,49,34,29,53,48,54,48,48,65,54,45,77,71,80,29,77,63,28,36,33,58,66,66,64,7,13,16,10,7
Genaro RodrÃ­guez Serrano,CDM,3,2,60,49,64,63,65,60,54,40,56,71,46,62,45,47,70,68,59,61,58,65,68,69,66,56,59,50,67,62,54,65,53,48,64,70,69,12,12,14,11,8
Manuel Zeitz,CDM,3,2,54,54,57,59,66,76,49,47,65,64,56,57,51,43,63,61,56,52,51,63,66,66,73,88,72,59,71,66,48,55,56,64,66,66,67,9,9,15,7,13
Robin Becker,RB,2,2,74,43,50,60,64,72,53,37,57,60,29,57,37,42,48,60,76,72,68,63,69,53,72,71,73,45,71,69,51,38,49,53,63,63,66,8,8,9,12,9
Borja Herrera GonzÃ¡lez,LB,2,3,71,54,62,66,63,63,67,50,63,65,45,65,62,63,57,67,72,71,75,60,69,61,66,71,61,57,59,62,55,53,55,57,61,64,66,7,9,9,10,11
Julian Lelieveld,RWB,3,2,69,44,63,62,62,65,68,38,56,68,26,58,50,28,68,66,67,71,67,59,67,58,52,69,62,50,70,59,45,55,34,58,61,66,64,14,12,12,13,7
Camilo RodrÃ­guez,RB,3,3,73,41,61,66,63,70,66,32,52,64,32,63,58,34,64,70,71,74,70,59,71,45,70,70,72,48,63,62,70,56,48,59,65,66,65,14,11,14,8,16
Joe Newell,CDM,3,3,54,56,69,67,63,73,68,55,57,72,64,66,70,63,69,70,55,54,62,62,60,56,49,77,73,54,74,65,62,68,62,71,63,64,64,10,14,7,13,11
Declan Gallagher,CB,3,2,59,32,49,49,66,80,40,25,67,58,30,40,28,22,62,56,64,54,59,61,44,58,74,66,91,19,70,65,48,44,30,60,67,65,63,9,12,12,10,10
Lucas Albertengo,ST,3,3,66,67,63,66,27,69,62,67,68,64,68,66,59,52,59,68,64,68,65,65,57,66,68,73,71,64,61,26,70,67,70,68,20,21,23,6,13,13,13,15
Leonardo B. Lohner Maia,ST,4,3,59,66,64,67,33,67,63,64,65,67,67,67,65,62,60,67,63,55,64,69,65,71,70,63,72,63,60,33,71,65,74,68,30,28,29,15,12,8,10,15
Riccardo Gagno,GK,3,1,66,67,59,70,41,69,12,19,16,27,14,15,17,14,25,18,40,42,32,54,63,44,54,35,60,13,21,23,10,23,23,28,14,12,14,66,67,59,69,70
Luigi Canotto,RW,5,3,71,62,63,70,41,55,68,66,43,67,50,70,54,44,61,69,71,71,70,64,80,66,45,61,49,51,67,38,70,61,50,64,41,42,38,13,6,6,10,12
Laros Duarte,CM,4,2,65,61,68,68,62,69,67,54,44,68,54,68,75,74,65,68,67,63,74,66,67,76,61,75,67,68,66,67,62,67,48,62,64,62,59,14,8,6,11,9
Kevin Ehlers,CB,3,2,63,29,51,53,68,68,33,22,64,66,31,42,30,25,50,63,63,63,59,64,59,42,74,64,76,28,53,70,33,57,35,64,70,68,66,8,15,12,8,11
Yahya Nadrani,CB,3,2,81,32,52,56,68,69,52,36,58,65,20,53,43,25,64,58,80,82,61,60,61,38,73,70,68,20,70,70,33,27,35,58,69,70,68,11,12,15,13,8
Mateusz Szwoch,RM,4,3,69,64,68,68,54,65,70,64,53,67,53,65,65,62,66,66,71,68,75,66,88,68,63,83,56,60,67,53,65,70,65,70,56,56,48,9,11,13,7,9
Ivan Zlobin,GK,2,1,66,65,61,67,29,66,11,9,14,26,5,11,14,11,18,20,30,28,55,70,35,46,52,25,59,9,28,10,5,42,15,37,11,13,13,66,65,61,66,67
Paulo Guilherme GonÃ§alves Bernardo,CAM,4,3,72,63,64,72,53,66,61,59,42,67,63,72,68,52,62,73,74,71,68,73,62,71,57,73,64,64,64,57,65,65,57,74,47,62,44,11,5,9,10,5
Luke Leahy,LM,2,3,71,63,66,68,59,77,64,62,59,68,55,67,64,61,65,67,69,72,72,67,73,62,75,87,69,66,85,57,65,65,65,64,56,62,58,13,11,13,7,12
Jovanny BolÃ­var,ST,3,2,61,71,56,65,28,62,48,75,66,60,65,67,61,68,45,65,62,60,60,61,70,67,74,62,73,72,29,20,62,60,70,54,20,30,20,10,14,14,11,10
Erwin Mulder,GK,3,1,67,64,71,70,33,64,15,20,19,35,14,14,14,12,40,30,32,34,40,65,38,53,75,34,69,15,31,18,11,56,25,51,16,15,13,67,64,71,64,70
Alexandru CreÈ›u,CB,3,2,59,51,56,57,68,74,42,46,64,66,42,53,39,38,63,59,62,56,59,65,58,64,64,71,78,50,71,66,51,56,49,59,69,68,69,12,8,11,11,7
Erik Shuranov,ST,4,3,58,69,44,63,28,71,31,73,69,53,61,63,53,38,37,61,60,57,67,65,63,71,73,61,79,63,61,19,68,45,66,63,24,26,22,13,11,12,10,6
Gabriel Osho,CB,3,2,70,29,51,58,67,71,58,24,67,64,34,53,34,24,58,65,69,71,59,62,63,42,67,68,77,21,63,64,39,29,46,59,68,68,64,9,6,14,15,6
Muhammed GÃ¼mÃ¼ÅŸkaya,CAM,3,3,74,62,67,69,53,57,67,55,45,68,57,70,73,70,65,67,74,74,75,61,70,71,65,69,51,67,57,53,59,64,69,65,54,55,52,9,15,8,7,11
Ricardo JosÃ© CecÃ­lia Batista,GK,3,1,70,62,68,73,38,66,17,12,10,36,14,16,15,19,34,21,39,37,46,52,39,51,64,24,70,15,45,22,17,16,26,41,17,9,19,70,62,68,66,73
Favio Ãlvarez,CAM,3,4,67,65,65,67,34,74,58,62,48,70,61,69,62,62,62,68,67,67,69,67,52,75,58,68,75,64,83,36,64,68,57,54,32,32,23,8,6,14,7,11
Cristian GutiÃ©rrez,LWB,2,2,76,43,63,64,63,69,66,34,59,65,36,63,59,55,64,64,70,80,64,60,69,56,68,68,70,49,66,64,58,60,46,62,61,66,64,14,6,7,13,12
Nasser Al Dawsari,LM,3,3,74,59,69,68,60,60,72,55,55,72,38,66,66,47,69,69,72,75,82,61,67,69,67,67,58,65,55,62,58,65,44,63,60,59,60,14,13,12,14,15
Christian Almeida,LB,3,2,56,42,58,60,69,58,58,33,63,62,30,62,40,71,55,58,61,51,52,65,63,51,57,70,46,52,74,63,65,52,39,62,68,73,73,9,15,10,8,5
ChristiÃ¡n Herc,RM,3,3,70,65,66,69,52,72,65,63,58,68,65,71,66,55,67,70,71,69,60,69,58,71,55,83,72,64,64,52,64,67,57,66,48,55,51,7,9,7,6,11
Anis Slimane,CM,4,4,66,59,62,69,58,75,45,59,50,70,47,69,59,51,67,70,68,65,66,68,66,64,65,84,77,59,62,58,67,67,49,65,59,59,56,11,12,8,5,14
Nilson Angulo,CAM,3,4,81,59,60,68,34,53,55,66,46,68,42,70,45,34,59,69,80,82,70,58,58,55,64,66,48,50,46,38,69,63,60,57,28,32,37,11,14,12,15,11
Lukas Engel,LB,3,3,80,56,61,66,59,69,65,58,59,64,48,65,52,47,60,68,79,81,68,60,67,60,70,80,65,48,64,57,59,57,50,59,57,63,61,9,12,7,7,12
Alexandre Bonnet,LM,4,3,70,65,67,70,47,58,68,64,46,66,54,67,71,67,65,69,73,67,85,62,82,67,32,61,65,66,42,56,63,66,74,69,44,49,32,6,7,13,6,9
Daniel De Silva,CAM,3,3,79,59,65,72,48,58,60,58,39,69,59,70,64,59,61,70,83,76,85,60,86,60,74,75,48,60,57,50,59,67,52,64,43,54,49,7,9,8,15,10
Geoffray Durbant,ST,2,2,60,66,49,66,18,64,34,71,65,60,62,65,39,33,39,68,60,60,71,72,59,65,68,81,66,58,35,10,69,57,60,60,16,11,17,10,11,14,9,7
Luis Caicedo,CB,3,2,50,28,47,41,66,77,48,24,68,62,22,23,24,26,52,51,48,52,54,65,70,37,71,71,80,26,80,64,29,28,37,54,65,68,61,13,9,6,11,9
Ljuban Crepulja,CDM,4,2,60,57,62,60,67,69,50,54,65,68,47,57,53,58,65,60,63,58,65,62,65,66,71,75,65,56,71,67,61,63,59,66,67,67,65,5,8,6,6,5
FlÃ¡vio da Silva Ramos,CB,2,2,48,29,40,44,65,73,29,24,69,56,20,42,29,25,38,45,42,52,37,65,38,43,76,55,80,30,75,66,23,30,35,62,61,68,66,14,10,14,11,11
Toni Domgjoni,CM,4,3,69,57,65,68,64,70,59,51,61,69,63,67,65,55,66,68,70,69,72,68,73,67,71,80,66,60,67,63,64,64,50,68,64,65,62,6,14,9,14,13
William Boyle,CB,3,2,46,29,44,49,66,78,32,25,69,58,24,48,26,27,54,50,47,46,37,64,48,46,70,70,84,20,73,65,24,34,41,56,66,67,66,8,15,13,13,7
